city,event_names,event_dates,event_prices,event_followers
Alicante,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 dic. 2024,"15,00 €",18
Alicante,Spring Festival 2025,30 may. 2025,"49,99 €",202
Alicante,Low Festival 2025,25 jul. 2025,,233
Alicante,Leyendas del Rock 2025,6 ago. 2025,"168,00 €",71
Alicante,Rabolagartija Festival 2025,15 ago. 2025,"59,00 €",39
Barcelona,Candlelight Barcelona 2024,1 ene. 2024,"15,00 €",40
Barcelona,Festival Mil·lenni 2024,8 feb. 2024,"16,00 €",48
Barcelona,Primavera Sound Barcelona 2025,5 jun. 2025,"400,00 €",522
Barcelona,Sónar Barcelona 2025,12 jun. 2025,"180,00 €",114
Barcelona,Barcelona Rock Fest 2025,26 jun. 2025,,24
Barcelona,Vida Festival 2025,3 jul. 2025,"43,70 €",88
Barcelona,Cruïlla 2025,9 jul. 2025,"11,00 €",291
Barcelona,MIRA Festival 2025,7 nov. 2025,"83,43 €",5
Barcelona,Loco Bongo XXL,6 dic. 2025,,2
Coruña,O Son Do Camiño 2025,12 jul. 2025,,306
Coruña,Morriña Festival 2025,25 jul. 2025,,49
Bilbao,Negufest,28 dic. 2024,,5
Bilbao,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 may. 2025,"15,00 €",17
Bilbao,Bilbao BBK Live 2025,10 jul. 2025,,657
Bilbao,BIME 2025,28 oct. 2025,,13
Granada,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Granada)",20 dic. 2024,"15,00 €",27
Granada,Sun & Snow Weekend 2025,4 abr. 2025,"53,90 €",3
Granada,Degusta Fest,27 jun. 2025,"66,00 €",2
Granada,Granada Latina Festival 2025,28 jun. 2025,,81
Granada,Granada Sound 2025,12 sep. 2025,,533
Málaga,Weekend Beach Festival 2025,10 jul. 2025,"70,00 €",92
Málaga,Canela Party 2025,20 ago. 2025,"80,00 €",69
Madrid,Candlelight Madrid 2024,1 ene. 2024,"20,00 €",92
Madrid,El Festival de las Estrellas 2024,1 ene. 2024,"10,00 €",323
Madrid,Summum Concert Series,6 oct. 2024,"25,00 €",6
Madrid,Festival de Tributos AMERICAN ROCK STARS (El Escorial - Madrid),4 ene. 2025,"13,00 €",5
Madrid,Iboga Festival Madrid 2024,15 feb. 2025,"22,50 €",1
Madrid,Horteralia Madrid 2025,22 feb. 2025,,1
Madrid,ALMA Y JALEO 21-MAR,21 mar. 2025,"15,00 €",2
Madrid,ALMA Y JALEO 22-MAR,22 mar. 2025,"25,00 €",8
Madrid,Tomavistas 2025,29 may. 2025,"100,00 €",276
Madrid,play4life,7 jun. 2025,,2
Madrid,A Summer Story 2025,20 jun. 2025,,138
Madrid,Festival Río Babel 2025,3 jul. 2025,,298
Madrid,Brava Madrid 2025,19 sep. 2025,,138
Madrid,Madrid Salvaje 2025,26 sep. 2025,,220
Oviedo,Nochevieja Universitaria: Especial DADE,20 dic. 2024,"5,50 €",0
Oviedo,Nochebuena: BAD SANTA,24 dic. 2024,"6,00 €",2
Oviedo,Nochevieja 2024 en GLAM,1 ene. 2025,"40,00 €",26
Oviedo,MoshFest 2025,21 mar. 2025,"15,00 €",11
Oviedo,Prestoso Fest 2025,7 ago. 2025,"70,00 €",123
Oviedo,Aquasella Festival 2025,14 ago. 2025,"79,90 €",93
Sevilla,Golden Nights Sevilla,27 oct. 2024,"33,10 €",1
Sevilla,Interestelar Sevilla 2025,16 may. 2025,"65,00 €",573
Valencia,Sentimiento Vallenato Fest,29 mar. 2025,,0
Valencia,Festival De Les Arts 2025,6 jun. 2025,,948
Valencia,BigSound Festival 2025,27 jun. 2025,"49,00 €",298
Valencia,Pirata Beach Festival 2025,9 jul. 2025,"42,00 €",116
Valencia,Festival Mediterránea 2025,14 ago. 2025,,2
Zaragoza,Festival Zaragoza Feliz Feliz 2024,20 dic. 2024,"30,00 €",175
Zaragoza,MODELO Zaragoza Tour - ENTRADA TRIPLE,27 mar. 2025,"30,00 €",10
