city,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date
Alicante,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 diciembre 2024,"15,00 €",18,21,12,2024,2024-12-21
Alicante,Spring Festival 2025,30 mayo 2025,"49,99 €",202,30,5,2025,2025-5-30
Alicante,Low Festival 2025,25 julio 2025,No se especifica,233,25,7,2025,2025-7-25
Alicante,Leyendas del Rock 2025,6 agosto 2025,"168,00 €",71,6,8,2025,2025-8-6
Alicante,Rabolagartija Festival 2025,15 agosto 2025,"59,00 €",39,15,8,2025,2025-8-15
Barcelona,Candlelight Barcelona 2024,1 enero 2024,"15,00 €",40,1,1,2024,2024-1-1
Barcelona,Festival Mil·lenni 2024,8 febrero 2024,"16,00 €",48,8,2,2024,2024-2-8
Barcelona,Primavera Sound Barcelona 2025,5 junio 2025,"400,00 €",522,5,6,2025,2025-6-5
Barcelona,Sónar Barcelona 2025,12 junio 2025,"180,00 €",114,12,6,2025,2025-6-12
Barcelona,Barcelona Rock Fest 2025,26 junio 2025,No se especifica,24,26,6,2025,2025-6-26
Barcelona,Vida Festival 2025,3 julio 2025,"43,70 €",88,3,7,2025,2025-7-3
Barcelona,Cruïlla 2025,9 julio 2025,"11,00 €",291,9,7,2025,2025-7-9
Barcelona,MIRA Festival 2025,7 noviembre 2025,"83,43 €",5,7,11,2025,2025-11-7
Barcelona,Loco Bongo XXL,6 diciembre 2025,No se especifica,2,6,12,2025,2025-12-6
Coruña,O Son Do Camiño 2025,12 julio 2025,No se especifica,306,12,7,2025,2025-7-12
Coruña,Morriña Festival 2025,25 julio 2025,No se especifica,49,25,7,2025,2025-7-25
Bilbao,Negufest,28 diciembre 2024,No se especifica,5,28,12,2024,2024-12-28
Bilbao,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,"15,00 €",17,17,5,2025,2025-5-17
Bilbao,Bilbao BBK Live 2025,10 julio 2025,No se especifica,657,10,7,2025,2025-7-10
Bilbao,BIME 2025,28 octubre 2025,No se especifica,13,28,10,2025,2025-10-28
