genre,event_names,event_dates,event_prices,event_followers
Pop,Candlelight Madrid 2024,1 ene. 2024,"20,00 €",92
Pop,Candlelight Barcelona 2024,1 ene. 2024,"15,00 €",40
Pop,El Festival de las Estrellas 2024,1 ene. 2024,"10,00 €",323
Pop,Festival Mil·lenni 2024,8 feb. 2024,"16,00 €",48
Pop,Summum Concert Series,6 oct. 2024,"25,00 €",6
Pop,Festival Zaragoza Feliz Feliz 2024,20 dic. 2024,"30,00 €",175
Pop,EntreRíos Festival 2025,3 ene. 2025,"19,95 €",270
Pop,Horteralia Cáceres 2025,22 feb. 2025,,3
Pop,Horteralia Madrid 2025,22 feb. 2025,,1
Pop,Polar Sound 2025,21 mar. 2025,,91
Pop,ALMA Y JALEO 22-MAR,22 mar. 2025,"25,00 €",8
Pop,MODELO Zaragoza Tour - ENTRADA TRIPLE,27 mar. 2025,"30,00 €",10
Pop,Primavera Trompetera Festival 2025,11 abr. 2025,,18
Pop,SanSan Festival 2025,17 abr. 2025,"66,00 €",561
Pop,WARM UP Estrella de Levante 2025,2 may. 2025,"64,99 €",52
Pop,Solazo Fest 2025,9 may. 2025,"50,00 €",19
Pop,Spring Festival 2025,30 may. 2025,"49,99 €",202
Pop,Primavera Sound Barcelona 2025,5 jun. 2025,"400,00 €",522
Pop,Festival De Les Arts 2025,6 jun. 2025,,948
Pop,Mallorca Live Festival 2025,12 jun. 2025,,112
Pop,Festival de los Sentidos 2025,13 jun. 2025,,74
Pop,Magnific Fest 2025,13 jun. 2025,"50,00 €",14
Pop,Gran Reserva Festival 2025,20 jun. 2025,"89,99 €",130
Pop,Conexión Valladolid Festival 7.0,27 jun. 2025,"50,00 €",242
autor,El Festival de las Estrellas 2024,1 ene. 2024,"10,00 €",323
autor,Negufest,28 dic. 2024,,5
autor,Conexión Valladolid Festival 7.0,27 jun. 2025,"50,00 €",242
Indie,El Festival de las Estrellas 2024,1 ene. 2024,"10,00 €",323
Indie,Negufest,28 dic. 2024,,5
