genre,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date,city
Pop,Candlelight Madrid 2024,1 enero 2024,"20,00 €",92,1,1,2024,2024-1-1,Madrid
Pop,Candlelight Barcelona 2024,1 enero 2024,"15,00 €",40,1,1,2024,2024-1-1,Barcelona
Pop,El Festival de las Estrellas 2024,1 enero 2024,"10,00 €",323,1,1,2024,2024-1-1,
Pop,Festival Mil·lenni 2024,8 febrero 2024,"16,00 €",48,8,2,2024,2024-2-8,
Pop,Summum Concert Series,6 octubre 2024,"25,00 €",6,6,10,2024,2024-10-6,
Pop,Festival Zaragoza Feliz Feliz 2024,20 diciembre 2024,"30,00 €",175,20,12,2024,2024-12-20,Zaragoza
Pop,EntreRíos Festival 2025,3 enero 2025,"19,95 €",270,3,1,2025,2025-1-3,
Pop,Horteralia Cáceres 2025,22 febrero 2025,No se especifica,3,22,2,2025,2025-2-22,
Pop,Horteralia Madrid 2025,22 febrero 2025,No se especifica,1,22,2,2025,2025-2-22,Madrid
Pop,Polar Sound 2025,21 marzo 2025,No se especifica,91,21,3,2025,2025-3-21,
Pop,ALMA Y JALEO 22-MAR,22 marzo 2025,"25,00 €",8,22,3,2025,2025-3-22,
Pop,MODELO Zaragoza Tour - ENTRADA TRIPLE,27 marzo 2025,"30,00 €",10,27,3,2025,2025-3-27,Zaragoza
Pop,Primavera Trompetera Festival 2025,11 abril 2025,No se especifica,18,11,4,2025,2025-4-11,
Pop,SanSan Festival 2025,17 abril 2025,"66,00 €",561,17,4,2025,2025-4-17,
Pop,WARM UP Estrella de Levante 2025,2 mayo 2025,"64,99 €",52,2,5,2025,2025-5-2,
Pop,Solazo Fest 2025,9 mayo 2025,"50,00 €",19,9,5,2025,2025-5-9,
Pop,Spring Festival 2025,30 mayo 2025,"49,99 €",202,30,5,2025,2025-5-30,
Pop,Primavera Sound Barcelona 2025,5 junio 2025,"400,00 €",522,5,6,2025,2025-6-5,Barcelona
Pop,Festival De Les Arts 2025,6 junio 2025,No se especifica,948,6,6,2025,2025-6-6,
Pop,Mallorca Live Festival 2025,12 junio 2025,No se especifica,112,12,6,2025,2025-6-12,
Pop,Festival de los Sentidos 2025,13 junio 2025,No se especifica,74,13,6,2025,2025-6-13,
Pop,Magnific Fest 2025,13 junio 2025,"50,00 €",14,13,6,2025,2025-6-13,
Pop,Gran Reserva Festival 2025,20 junio 2025,"89,99 €",130,20,6,2025,2025-6-20,
