city,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date
Alicante,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 diciembre 2024,15.0,18,21,12,2024,2024-12-21
Alicante,Spring Festival 2025,30 mayo 2025,49.99,202,30,5,2025,2025-5-30
Alicante,Leyendas del Rock 2025,6 agosto 2025,168.0,71,6,8,2025,2025-8-6
Alicante,Rabolagartija Festival 2025,15 agosto 2025,59.0,39,15,8,2025,2025-8-15
Barcelona,Candlelight Barcelona 2024,1 enero 2024,15.0,40,1,1,2024,2024-1-1
Barcelona,Festival Mil·lenni 2024,8 febrero 2024,16.0,48,8,2,2024,2024-2-8
Barcelona,Primavera Sound Barcelona 2025,5 junio 2025,400.0,522,5,6,2025,2025-6-5
Barcelona,Sónar Barcelona 2025,12 junio 2025,180.0,114,12,6,2025,2025-6-12
Barcelona,Vida Festival 2025,3 julio 2025,43.7,88,3,7,2025,2025-7-3
Barcelona,Cruïlla 2025,9 julio 2025,11.0,291,9,7,2025,2025-7-9
Barcelona,MIRA Festival 2025,7 noviembre 2025,83.43,5,7,11,2025,2025-11-7
Bilbao,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,15.0,17,17,5,2025,2025-5-17
Granada,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Granada)",20 diciembre 2024,15.0,27,20,12,2024,2024-12-20
Granada,Sun & Snow Weekend 2025,4 abril 2025,53.9,3,4,4,2025,2025-4-4
Granada,Degusta Fest,27 junio 2025,66.0,2,27,6,2025,2025-6-27
Málaga,Weekend Beach Festival 2025,10 julio 2025,70.0,92,10,7,2025,2025-7-10
Málaga,Canela Party 2025,20 agosto 2025,80.0,69,20,8,2025,2025-8-20
Madrid,Candlelight Madrid 2024,1 enero 2024,20.0,92,1,1,2024,2024-1-1
Madrid,El Festival de las Estrellas 2024,1 enero 2024,10.0,323,1,1,2024,2024-1-1
Madrid,Summum Concert Series,6 octubre 2024,25.0,6,6,10,2024,2024-10-6
Madrid,Festival de Tributos AMERICAN ROCK STARS (El Escorial - Madrid),4 enero 2025,13.0,5,4,1,2025,2025-1-4
Madrid,Iboga Festival Madrid 2024,15 febrero 2025,22.5,1,15,2,2025,2025-2-15
